epoch,loss/ck_step,loss/noise_step,loss/post_step,loss/rec_step,loss/total_step,lr-Adam,step
,,,,,,0.0001599999407823814,32062
2,0.010811460204422474,0.0029658456332981586,0.004222630523145199,0.013081826269626617,0.012724706903100014,,32062
,,,,,,0.0001599999407823814,32063
2,0.0,0.0016273106448352337,0.004165600053966045,0.01281785313040018,0.009077637456357479,,32063
,,,,,,0.0001599999407823814,32064
2,0.008068418130278587,0.0025337229017168283,0.004362085834145546,0.01417226530611515,0.012324061244726181,,32064
,,,,,,0.0001599999407823814,32065
2,0.0,0.0028392374515533447,0.005510279908776283,0.016938820481300354,0.01268621813505888,,32065
,,,,,,0.0001599999407823814,32066
2,0.008055433630943298,0.002579469233751297,0.00432531489059329,0.01249406486749649,0.011518917977809906,,32066
,,,,,,0.0001599999407823814,32067
2,0.0,0.0012289189035072923,0.0029579298570752144,0.011785894632339478,0.007861348800361156,,32067
,,,,,,0.0001599999407823814,32068
2,0.0,0.002195590641349554,0.004439153242856264,0.01457720622420311,0.010593981482088566,,32068
,,,,,,0.0001599999407823814,32069
2,0.007751700468361378,0.0019554258324205875,0.004533438943326473,0.014030412770807743,0.011654332280158997,,32069
,,,,,,0.0001599999407823814,32070
2,0.0,0.0013567691203206778,0.0030640086624771357,0.01481439359486103,0.009529967792332172,,32070
,,,,,,0.0001599999407823814,32071
2,0.0,0.0017189261270686984,0.0034947963431477547,0.012259545736014843,0.008722398430109024,,32071
,,,,,,0.0001599999407823814,32072
2,0.0,0.0009605998056940734,0.0032623480074107647,0.016646377742290497,0.010099375620484352,,32072
,,,,,,0.0001599999407823814,32073
2,0.0,0.004278730601072311,0.005727397743612528,0.01380960177630186,0.012615380808711052,,32073
,,,,,,0.0001599999407823814,32074
2,0.0,0.002933493349701166,0.005412206519395113,0.013763387687504292,0.011168239638209343,,32074
,,,,,,0.0001599999407823814,32075
2,0.011691107414662838,0.002451640320941806,0.004258023574948311,0.012557780370116234,0.01213325746357441,,32075
,,,,,,0.0001599999407823814,32076
2,0.0,0.00613260455429554,0.006735557224601507,0.014288280159235,0.014960634522140026,,32076
,,,,,,0.0001599999407823814,32077
2,0.0,0.0027562344912439585,0.004150581080466509,0.012144776061177254,0.009866267442703247,,32077
,,,,,,0.0001599999407823814,32078
2,0.014613686129450798,0.004831381607800722,0.006442515179514885,0.0180218443274498,0.018375670537352562,,32078
,,,,,,0.0001599999407823814,32079
2,0.0,0.003266595071181655,0.005452313460409641,0.012573352083563805,0.010916349478065968,,32079
