mod,idx,nz_frac,edge_top,edge_bottom,edge_left,edge_right,center_y,center_x,H,W
t1,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
t2,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
t1ce,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
flair,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
t1,48,0.303467,0.003906,0.000000,0.000000,0.000000,28.595333869670153,31.76025744167337,64,64
t2,48,0.303711,0.003906,0.000000,0.000000,0.000000,28.611736334405144,31.7532154340836,64,64
t1ce,48,0.303711,0.003906,0.000000,0.000000,0.000000,28.611736334405144,31.7532154340836,64,64
flair,48,0.303711,0.003906,0.000000,0.000000,0.000000,28.611736334405144,31.7532154340836,64,64
t1,96,0.131592,0.000000,0.000000,0.000000,0.000000,29.98886827458256,31.289424860853433,64,64
t2,96,0.131592,0.000000,0.000000,0.000000,0.000000,29.98886827458256,31.289424860853433,64,64
t1ce,96,0.131592,0.000000,0.000000,0.000000,0.000000,29.98886827458256,31.289424860853433,64,64
flair,96,0.131592,0.000000,0.000000,0.000000,0.000000,29.98886827458256,31.289424860853433,64,64
t1,144,0.262451,0.025391,0.000000,0.000000,0.000000,26.30604651162791,31.56186046511628,64,64
t2,144,0.262451,0.025391,0.000000,0.000000,0.000000,26.305116279069768,31.56279069767442,64,64
t1ce,144,0.262695,0.025391,0.000000,0.000000,0.000000,26.29182156133829,31.552044609665426,64,64
flair,144,0.262695,0.025391,0.000000,0.000000,0.000000,26.29182156133829,31.552044609665426,64,64
t1,192,0.259766,0.000000,0.000000,0.000000,0.000000,28.765037593984964,31.6343984962406,64,64
t2,192,0.259521,0.000000,0.000000,0.000000,0.000000,28.7826904985889,31.634054562558795,64,64
t1ce,192,0.259766,0.000000,0.000000,0.000000,0.000000,28.765037593984964,31.6343984962406,64,64
flair,192,0.259766,0.000000,0.000000,0.000000,0.000000,28.765037593984964,31.6343984962406,64,64
t1,240,0.141846,0.000000,0.000000,0.000000,0.000000,26.672977624784853,31.524956970740103,64,64
t2,240,0.141602,0.000000,0.000000,0.000000,0.000000,26.675862068965518,31.551724137931036,64,64
t1ce,240,0.142090,0.000000,0.000000,0.000000,0.000000,26.6872852233677,31.5,64,64
flair,240,0.142090,0.000000,0.000000,0.000000,0.000000,26.6872852233677,31.5,64,64
t1,288,0.309570,0.000000,0.000000,0.000000,0.000000,30.964511041009462,31.19794952681388,64,64
t2,288,0.309570,0.000000,0.000000,0.000000,0.000000,30.964511041009462,31.19794952681388,64,64
t1ce,288,0.309570,0.000000,0.000000,0.000000,0.000000,30.964511041009462,31.19794952681388,64,64
flair,288,0.304443,0.000000,0.000000,0.000000,0.000000,30.887730553327987,31.190056134723335,64,64
t1,336,0.111328,0.000000,0.000000,0.000000,0.000000,29.19298245614035,31.43859649122807,64,64
t2,336,0.111328,0.000000,0.000000,0.000000,0.000000,29.19298245614035,31.43859649122807,64,64
t1ce,336,0.111328,0.000000,0.000000,0.000000,0.000000,29.19298245614035,31.43859649122807,64,64
flair,336,0.111084,0.000000,0.000000,0.000000,0.000000,29.173626373626373,31.428571428571427,64,64
t1,384,0.300293,0.013672,0.000000,0.000000,0.000000,28.838211382113823,30.628455284552846,64,64
t2,384,0.300293,0.013672,0.000000,0.000000,0.000000,28.838211382113823,30.628455284552846,64,64
t1ce,384,0.300293,0.013672,0.000000,0.000000,0.000000,28.838211382113823,30.628455284552846,64,64
flair,384,0.300293,0.013672,0.000000,0.000000,0.000000,28.838211382113823,30.628455284552846,64,64
t1,432,0.289551,0.000000,0.000000,0.000000,0.000000,30.962057335581786,31.047217537942664,64,64
t2,432,0.289551,0.000000,0.000000,0.000000,0.000000,30.962057335581786,31.047217537942664,64,64
t1ce,432,0.289551,0.000000,0.000000,0.000000,0.000000,30.962057335581786,31.047217537942664,64,64
flair,432,0.288818,0.000000,0.000000,0.000000,0.000000,30.964497041420117,31.037193575655113,64,64
t1,480,0.103516,0.000000,0.000000,0.000000,0.000000,19.92688679245283,32.6438679245283,64,64
t2,480,0.103027,0.000000,0.000000,0.000000,0.000000,19.971563981042653,32.66824644549763,64,64
t1ce,480,0.103516,0.000000,0.000000,0.000000,0.000000,19.92688679245283,32.6438679245283,64,64
flair,480,0.103516,0.000000,0.000000,0.000000,0.000000,19.92688679245283,32.6438679245283,64,64
t1,528,0.299805,0.000000,0.000000,0.000000,0.000000,29.5114006514658,31.679967426710096,64,64
t2,528,0.299805,0.000000,0.000000,0.000000,0.000000,29.5114006514658,31.679967426710096,64,64
t1ce,528,0.299805,0.000000,0.000000,0.000000,0.000000,29.5114006514658,31.679967426710096,64,64
flair,528,0.299316,0.000000,0.000000,0.000000,0.000000,29.481239804241437,31.681076672104403,64,64
t1,576,0.111084,0.000000,0.000000,0.000000,0.000000,29.87032967032967,31.61758241758242,64,64
t2,576,0.111084,0.000000,0.000000,0.000000,0.000000,29.87032967032967,31.61758241758242,64,64
t1ce,576,0.111084,0.000000,0.000000,0.000000,0.000000,29.87032967032967,31.61758241758242,64,64
flair,576,0.111084,0.000000,0.000000,0.000000,0.000000,29.87032967032967,31.61758241758242,64,64
t1,624,0.252197,0.021484,0.000000,0.000000,0.000000,24.672797676669894,31.589545014520812,64,64
t2,624,0.251709,0.021484,0.000000,0.000000,0.000000,24.642095053346267,31.586808923375365,64,64
t1ce,624,0.252197,0.021484,0.000000,0.000000,0.000000,24.672797676669894,31.589545014520812,64,64
flair,624,0.252197,0.021484,0.000000,0.000000,0.000000,24.672797676669894,31.589545014520812,64,64
t1,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
t2,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
t1ce,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
flair,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
t1,720,0.166504,0.000000,0.000000,0.000000,0.000000,24.332844574780058,32.0366568914956,64,64
t2,720,0.165771,0.000000,0.000000,0.000000,0.000000,24.36524300441826,32.02945508100147,64,64
t1ce,720,0.166260,0.000000,0.000000,0.000000,0.000000,24.333333333333332,32.03817914831131,64,64
flair,720,0.166504,0.000000,0.000000,0.000000,0.000000,24.332844574780058,32.0366568914956,64,64
t1,768,0.316895,0.003906,0.000000,0.000000,0.000000,29.687211093990754,31.51617873651772,64,64
t2,768,0.316895,0.003906,0.000000,0.000000,0.000000,29.687211093990754,31.51617873651772,64,64
t1ce,768,0.316895,0.003906,0.000000,0.000000,0.000000,29.687211093990754,31.51617873651772,64,64
flair,768,0.316895,0.003906,0.000000,0.000000,0.000000,29.687211093990754,31.51617873651772,64,64
t1,816,0.056641,0.000000,0.000000,0.000000,0.000000,29.38362068965517,31.267241379310345,64,64
t2,816,0.056641,0.000000,0.000000,0.000000,0.000000,29.38362068965517,31.267241379310345,64,64
t1ce,816,0.056641,0.000000,0.000000,0.000000,0.000000,29.38362068965517,31.267241379310345,64,64
flair,816,0.056641,0.000000,0.000000,0.000000,0.000000,29.38362068965517,31.267241379310345,64,64
t1,864,0.284912,0.000000,0.000000,0.000000,0.000000,27.877463581833762,31.902313624678662,64,64
t2,864,0.284912,0.000000,0.000000,0.000000,0.000000,27.888603256212512,31.916023993144815,64,64
t1ce,864,0.285156,0.000000,0.000000,0.000000,0.000000,27.893835616438356,31.90068493150685,64,64
flair,864,0.285156,0.000000,0.000000,0.000000,0.000000,27.893835616438356,31.90068493150685,64,64
t1,912,0.177490,0.000000,0.000000,0.000000,0.000000,28.25309491059147,31.801925722145803,64,64
t2,912,0.177490,0.000000,0.000000,0.000000,0.000000,28.25309491059147,31.801925722145803,64,64
t1ce,912,0.177490,0.000000,0.000000,0.000000,0.000000,28.25309491059147,31.801925722145803,64,64
flair,912,0.177490,0.000000,0.000000,0.000000,0.000000,28.25309491059147,31.801925722145803,64,64
t1,960,0.267578,0.007812,0.000000,0.000000,0.000000,25.264598540145986,31.508211678832115,64,64
t2,960,0.267578,0.007812,0.000000,0.000000,0.000000,25.264598540145986,31.508211678832115,64,64
t1ce,960,0.267334,0.007812,0.000000,0.000000,0.000000,25.26027397260274,31.515981735159816,64,64
flair,960,0.267578,0.007812,0.000000,0.000000,0.000000,25.264598540145986,31.508211678832115,64,64
t1,1008,0.276855,0.000000,0.000000,0.000000,0.000000,29.241622574955908,31.894179894179896,64,64
t2,1008,0.276611,0.000000,0.000000,0.000000,0.000000,29.255075022065313,31.88261253309797,64,64
t1ce,1008,0.276855,0.000000,0.000000,0.000000,0.000000,29.241622574955908,31.894179894179896,64,64
flair,1008,0.276855,0.000000,0.000000,0.000000,0.000000,29.241622574955908,31.894179894179896,64,64
t1,1056,0.143311,0.000000,0.000000,0.000000,0.000000,24.914821124361158,31.345826235093696,64,64
t2,1056,0.143311,0.000000,0.000000,0.000000,0.000000,24.914821124361158,31.345826235093696,64,64
t1ce,1056,0.143311,0.000000,0.000000,0.000000,0.000000,24.914821124361158,31.345826235093696,64,64
flair,1056,0.143311,0.000000,0.000000,0.000000,0.000000,24.914821124361158,31.345826235093696,64,64
t1,1104,0.352295,0.000000,0.000000,0.000000,0.000000,31.43243243243243,31.384615384615383,64,64
t2,1104,0.352295,0.000000,0.000000,0.000000,0.000000,31.43243243243243,31.384615384615383,64,64
t1ce,1104,0.352295,0.000000,0.000000,0.000000,0.000000,31.43243243243243,31.384615384615383,64,64
flair,1104,0.351562,0.000000,0.000000,0.000000,0.000000,31.460416666666667,31.384722222222223,64,64
t1,1152,0.149902,0.000000,0.000000,0.000000,0.000000,29.79641693811075,31.65960912052117,64,64
t2,1152,0.149902,0.000000,0.000000,0.000000,0.000000,29.79641693811075,31.65960912052117,64,64
t1ce,1152,0.149902,0.000000,0.000000,0.000000,0.000000,29.79641693811075,31.65960912052117,64,64
flair,1152,0.149902,0.000000,0.000000,0.000000,0.000000,29.79641693811075,31.65960912052117,64,64
t1,1200,0.249756,0.039062,0.000000,0.000000,0.000000,24.733137829912025,31.651026392961878,64,64
t2,1200,0.249023,0.039062,0.000000,0.000000,0.000000,24.725490196078432,31.648039215686275,64,64
t1ce,1200,0.249756,0.039062,0.000000,0.000000,0.000000,24.744868035190617,31.653958944281523,64,64
flair,1200,0.250244,0.039062,0.000000,0.000000,0.000000,24.761951219512195,31.650731707317075,64,64
t1,1248,0.262207,0.000000,0.000000,0.000000,0.000000,30.303538175046555,31.769087523277467,64,64
t2,1248,0.262207,0.000000,0.000000,0.000000,0.000000,30.303538175046555,31.769087523277467,64,64
t1ce,1248,0.262207,0.000000,0.000000,0.000000,0.000000,30.303538175046555,31.769087523277467,64,64
flair,1248,0.262207,0.000000,0.000000,0.000000,0.000000,30.303538175046555,31.769087523277467,64,64
t1,1296,0.230469,0.037109,0.000000,0.000000,0.000000,23.6239406779661,31.46186440677966,64,64
t2,1296,0.229736,0.037109,0.000000,0.000000,0.000000,23.638682252922422,31.414452709883104,64,64
t1ce,1296,0.230469,0.037109,0.000000,0.000000,0.000000,23.6239406779661,31.46186440677966,64,64
flair,1296,0.230469,0.037109,0.000000,0.000000,0.000000,23.6239406779661,31.46186440677966,64,64
t1,1344,0.340332,0.011719,0.000000,0.000000,0.000000,29.068149210903872,31.59684361549498,64,64
t2,1344,0.340332,0.011719,0.000000,0.000000,0.000000,29.068149210903872,31.59684361549498,64,64
t1ce,1344,0.340332,0.011719,0.000000,0.000000,0.000000,29.068149210903872,31.59684361549498,64,64
flair,1344,0.340088,0.011719,0.000000,0.000000,0.000000,29.07178750897344,31.600143575017945,64,64
t1,1392,0.071289,0.000000,0.000000,0.000000,0.000000,28.05821917808219,31.743150684931507,64,64
t2,1392,0.073242,0.000000,0.000000,0.000000,0.000000,28.11,31.676666666666666,64,64
t1ce,1392,0.072021,0.000000,0.000000,0.000000,0.000000,27.989830508474576,31.677966101694917,64,64
flair,1392,0.073242,0.000000,0.000000,0.000000,0.000000,28.11,31.676666666666666,64,64
t1,1440,0.245117,0.000000,0.000000,0.000000,0.000000,26.32569721115538,31.383466135458168,64,64
t2,1440,0.246338,0.000000,0.000000,0.000000,0.000000,26.432111000991082,31.381565906838453,64,64
t1ce,1440,0.246582,0.000000,0.000000,0.000000,0.000000,26.415841584158414,31.383168316831682,64,64
flair,1440,0.246582,0.000000,0.000000,0.000000,0.000000,26.415841584158414,31.383168316831682,64,64
t1,1488,0.239746,0.000000,0.000000,0.000000,0.000000,30.730142566191446,31.194501018329937,64,64
t2,1488,0.239502,0.000000,0.000000,0.000000,0.000000,30.749235474006117,31.19367991845056,64,64
t1ce,1488,0.239746,0.000000,0.000000,0.000000,0.000000,30.730142566191446,31.194501018329937,64,64
flair,1488,0.239502,0.000000,0.000000,0.000000,0.000000,30.710499490316003,31.189602446483182,64,64
t1,1536,0.158203,0.000000,0.000000,0.000000,0.000000,23.34567901234568,31.325617283950617,64,64
t2,1536,0.157227,0.000000,0.000000,0.000000,0.000000,23.40527950310559,31.358695652173914,64,64
t1ce,1536,0.158203,0.000000,0.000000,0.000000,0.000000,23.34567901234568,31.325617283950617,64,64
flair,1536,0.157959,0.000000,0.000000,0.000000,0.000000,23.34930448222566,31.346213292117465,64,64
t1,1584,0.312744,0.000000,0.000000,0.000000,0.000000,30.021077283372364,31.453551912568305,64,64
t2,1584,0.312744,0.000000,0.000000,0.000000,0.000000,30.021077283372364,31.453551912568305,64,64
t1ce,1584,0.312744,0.000000,0.000000,0.000000,0.000000,30.021077283372364,31.453551912568305,64,64
flair,1584,0.312744,0.000000,0.000000,0.000000,0.000000,30.021077283372364,31.453551912568305,64,64
t1,1632,0.095459,0.000000,0.000000,0.000000,0.000000,30.572890025575447,31.73913043478261,64,64
t2,1632,0.095703,0.000000,0.000000,0.000000,0.000000,30.566326530612244,31.73469387755102,64,64
t1ce,1632,0.094971,0.000000,0.000000,0.000000,0.000000,30.60668380462725,31.732647814910024,64,64
flair,1632,0.094971,0.000000,0.000000,0.000000,0.000000,30.51413881748072,31.737789203084834,64,64
t1,1680,0.311523,0.009766,0.000000,0.000000,0.000000,30.195924764890282,31.979623824451412,64,64
t2,1680,0.311523,0.009766,0.000000,0.000000,0.000000,30.195924764890282,31.979623824451412,64,64
t1ce,1680,0.311523,0.009766,0.000000,0.000000,0.000000,30.195924764890282,31.979623824451412,64,64
flair,1680,0.311035,0.009766,0.000000,0.000000,0.000000,30.20800627943485,31.99215070643642,64,64
t1,1728,0.189209,0.000000,0.000000,0.000000,0.000000,29.46709677419355,32.16129032258065,64,64
t2,1728,0.189209,0.000000,0.000000,0.000000,0.000000,29.46709677419355,32.16129032258065,64,64
t1ce,1728,0.189209,0.000000,0.000000,0.000000,0.000000,29.46709677419355,32.16129032258065,64,64
flair,1728,0.188965,0.000000,0.000000,0.000000,0.000000,29.444444444444443,32.15762273901809,64,64
t1,1776,0.166504,0.000000,0.000000,0.000000,0.000000,24.979472140762464,30.475073313782993,64,64
t2,1776,0.163818,0.000000,0.000000,0.000000,0.000000,25.11326378539493,30.26676602086438,64,64
t1ce,1776,0.168213,0.000000,0.000000,0.000000,0.000000,25.0188679245283,30.35123367198839,64,64
flair,1776,0.167480,0.000000,0.000000,0.000000,0.000000,25.090379008746357,30.2332361516035,64,64
t1,1824,0.291260,0.000000,0.000000,0.000000,0.000000,30.727577535624476,31.19446772841576,64,64
t2,1824,0.291260,0.000000,0.000000,0.000000,0.000000,30.727577535624476,31.19446772841576,64,64
t1ce,1824,0.291260,0.000000,0.000000,0.000000,0.000000,30.727577535624476,31.19446772841576,64,64
flair,1824,0.291016,0.000000,0.000000,0.000000,0.000000,30.7248322147651,31.19295302013423,64,64
t1,1872,0.106689,0.000000,0.000000,0.000000,0.000000,21.704805491990847,30.503432494279178,64,64
t2,1872,0.106689,0.000000,0.000000,0.000000,0.000000,21.704805491990847,30.503432494279178,64,64
t1ce,1872,0.106689,0.000000,0.000000,0.000000,0.000000,21.704805491990847,30.503432494279178,64,64
flair,1872,0.106689,0.000000,0.000000,0.000000,0.000000,21.704805491990847,30.503432494279178,64,64
t1,1920,0.318848,0.000000,0.000000,0.000000,0.000000,29.144716692189892,31.61791730474732,64,64
t2,1920,0.318848,0.000000,0.000000,0.000000,0.000000,29.152373660030626,31.61179173047473,64,64
t1ce,1920,0.318848,0.000000,0.000000,0.000000,0.000000,29.144716692189892,31.61791730474732,64,64
flair,1920,0.316406,0.000000,0.000000,0.000000,0.000000,29.20601851851852,31.66898148148148,64,64
t1,1968,0.216064,0.000000,0.000000,0.000000,0.000000,31.388700564971753,31.221468926553673,64,64
t2,1968,0.216064,0.000000,0.000000,0.000000,0.000000,31.388700564971753,31.221468926553673,64,64
t1ce,1968,0.216064,0.000000,0.000000,0.000000,0.000000,31.388700564971753,31.221468926553673,64,64
flair,1968,0.216064,0.000000,0.000000,0.000000,0.000000,31.388700564971753,31.221468926553673,64,64
t1,2016,0.273438,0.009766,0.000000,0.000000,0.000000,27.22232142857143,31.27857142857143,64,64
t2,2016,0.273193,0.009766,0.000000,0.000000,0.000000,27.238605898123325,31.27882037533512,64,64
t1ce,2016,0.273438,0.009766,0.000000,0.000000,0.000000,27.22232142857143,31.27857142857143,64,64
flair,2016,0.273438,0.009766,0.000000,0.000000,0.000000,27.22232142857143,31.27857142857143,64,64
t1,2064,0.279541,0.000000,0.000000,0.000000,0.000000,30.67947598253275,31.497816593886462,64,64
t2,2064,0.279541,0.000000,0.000000,0.000000,0.000000,30.67947598253275,31.497816593886462,64,64
t1ce,2064,0.279297,0.000000,0.000000,0.000000,0.000000,30.66520979020979,31.490384615384617,64,64
flair,2064,0.279541,0.000000,0.000000,0.000000,0.000000,30.67947598253275,31.497816593886462,64,64
t1,2112,0.111816,0.000000,0.000000,0.000000,0.000000,21.639737991266376,30.312227074235807,64,64
t2,2112,0.111328,0.000000,0.000000,0.000000,0.000000,21.589912280701753,30.359649122807017,64,64
t1ce,2112,0.110107,0.000000,0.000000,0.000000,0.000000,21.496674057649667,30.407982261640797,64,64
flair,2112,0.111816,0.000000,0.000000,0.000000,0.000000,21.639737991266376,30.312227074235807,64,64
t1,2160,0.331543,0.017578,0.000000,0.000000,0.000000,30.57658321060383,30.653166421207658,64,64
t2,2160,0.331543,0.017578,0.000000,0.000000,0.000000,30.57658321060383,30.653166421207658,64,64
t1ce,2160,0.331543,0.017578,0.000000,0.000000,0.000000,30.57658321060383,30.653166421207658,64,64
flair,2160,0.331543,0.017578,0.000000,0.000000,0.000000,30.57658321060383,30.653166421207658,64,64
t1,2208,0.149902,0.000000,0.000000,0.000000,0.000000,29.596091205211728,30.70358306188925,64,64
t2,2208,0.149902,0.000000,0.000000,0.000000,0.000000,29.596091205211728,30.70358306188925,64,64
t1ce,2208,0.149658,0.000000,0.000000,0.000000,0.000000,29.608482871125613,30.717781402936378,64,64
flair,2208,0.149902,0.000000,0.000000,0.000000,0.000000,29.596091205211728,30.70358306188925,64,64
t1,2256,0.270508,0.074219,0.000000,0.000000,0.000000,23.946750902527075,31.61462093862816,64,64
t2,2256,0.270508,0.074219,0.000000,0.000000,0.000000,23.946750902527075,31.61462093862816,64,64
t1ce,2256,0.270508,0.074219,0.000000,0.000000,0.000000,23.946750902527075,31.61462093862816,64,64
flair,2256,0.270508,0.074219,0.000000,0.000000,0.000000,23.946750902527075,31.61462093862816,64,64
t1,2304,0.303223,0.000000,0.000000,0.000000,0.000000,29.788244766505635,31.853462157809982,64,64
t2,2304,0.303223,0.000000,0.000000,0.000000,0.000000,29.788244766505635,31.853462157809982,64,64
t1ce,2304,0.303223,0.000000,0.000000,0.000000,0.000000,29.788244766505635,31.853462157809982,64,64
flair,2304,0.302979,0.000000,0.000000,0.000000,0.000000,29.771958098307817,31.85334407735697,64,64
t1,2352,0.070557,0.000000,0.000000,0.000000,0.000000,21.086505190311417,31.166089965397923,64,64
t2,2352,0.070557,0.000000,0.000000,0.000000,0.000000,21.086505190311417,31.166089965397923,64,64
t1ce,2352,0.070557,0.000000,0.000000,0.000000,0.000000,21.086505190311417,31.166089965397923,64,64
flair,2352,0.070557,0.000000,0.000000,0.000000,0.000000,21.086505190311417,31.166089965397923,64,64
t1,2400,0.277344,0.000000,0.000000,0.000000,0.000000,29.526408450704224,31.569542253521128,64,64
t2,2400,0.277344,0.000000,0.000000,0.000000,0.000000,29.526408450704224,31.569542253521128,64,64
t1ce,2400,0.277344,0.000000,0.000000,0.000000,0.000000,29.526408450704224,31.569542253521128,64,64
flair,2400,0.277344,0.000000,0.000000,0.000000,0.000000,29.526408450704224,31.569542253521128,64,64
t1,2448,0.159424,0.000000,0.000000,0.000000,0.000000,29.473200612557427,31.84532924961715,64,64
t2,2448,0.159424,0.000000,0.000000,0.000000,0.000000,29.473200612557427,31.84532924961715,64,64
