mod,idx,nz_frac,edge_top,edge_bottom,edge_left,edge_right,center_y,center_x,H,W
t1,0,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
t2,0,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
t1ce,0,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
flair,0,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
t1,55,0.305664,0.074219,0.000000,0.000000,0.000000,25.751597444089455,32.1038338658147,64,64
t2,55,0.306641,0.076172,0.000000,0.000000,0.000000,25.75079617834395,32.17675159235669,64,64
t1ce,55,0.307617,0.072266,0.000000,0.000000,0.000000,25.815873015873017,32.17142857142857,64,64
flair,55,0.289795,0.044922,0.000000,0.000000,0.000000,25.70766638584667,31.96882898062342,64,64
t1,110,0.229492,0.000000,0.000000,0.000000,0.000000,29.98723404255319,31.51382978723404,64,64
t2,110,0.235107,0.000000,0.000000,0.000000,0.000000,29.92731048805815,31.43509865005192,64,64
t1ce,110,0.229980,0.000000,0.000000,0.000000,0.000000,29.985138004246284,31.492569002123144,64,64
flair,110,0.214844,0.000000,0.000000,0.000000,0.000000,29.914772727272727,31.442045454545454,64,64
t1,165,0.079834,0.000000,0.000000,0.000000,0.000000,23.06422018348624,32.3394495412844,64,64
t2,165,0.079834,0.000000,0.000000,0.000000,0.000000,23.067278287461775,32.3394495412844,64,64
t1ce,165,0.080566,0.000000,0.000000,0.000000,0.000000,23.009090909090908,32.2969696969697,64,64
flair,165,0.079590,0.000000,0.000000,0.000000,0.000000,23.07668711656442,32.33742331288344,64,64
t1,220,0.351807,0.105469,0.000000,0.000000,0.000000,28.029840388619014,31.553782095766827,64,64
t2,220,0.350342,0.101562,0.000000,0.000000,0.000000,28.133797909407665,31.52752613240418,64,64
t1ce,220,0.351807,0.107422,0.000000,0.000000,0.000000,28.11589174184594,31.442748091603054,64,64
flair,220,0.349854,0.103516,0.000000,0.000000,0.000000,28.070481507327287,31.52128401953943,64,64
t1,275,0.196777,0.000000,0.000000,0.000000,0.000000,28.34739454094293,31.733250620347395,64,64
t2,275,0.197510,0.000000,0.000000,0.000000,0.000000,28.419035846724352,31.69097651421508,64,64
t1ce,275,0.197021,0.000000,0.000000,0.000000,0.000000,28.437422552664188,31.684014869888475,64,64
flair,275,0.195801,0.000000,0.000000,0.000000,0.000000,28.43640897755611,31.65586034912718,64,64
t1,330,0.079346,0.000000,0.000000,0.000000,0.000000,22.24,30.99692307692308,64,64
t2,330,0.076416,0.000000,0.000000,0.000000,0.000000,22.21405750798722,30.93929712460064,64,64
t1ce,330,0.081543,0.000000,0.000000,0.000000,0.000000,22.356287425149702,31.017964071856287,64,64
flair,330,0.075195,0.000000,0.000000,0.000000,0.000000,22.13961038961039,30.91883116883117,64,64
t1,385,0.365234,0.000000,0.000000,0.000000,0.000000,30.93917112299465,31.253342245989305,64,64
t2,385,0.363525,0.000000,0.000000,0.000000,0.000000,31.149093351242445,31.29214237743452,64,64
t1ce,385,0.368164,0.000000,0.000000,0.000000,0.000000,30.96816976127321,31.27387267904509,64,64
flair,385,0.359131,0.000000,0.000000,0.000000,0.000000,30.989802855200544,31.282800815771584,64,64
t1,440,0.135254,0.000000,0.000000,0.000000,0.000000,29.229241877256317,31.40974729241877,64,64
t2,440,0.131104,0.000000,0.000000,0.000000,0.000000,29.16945996275605,31.363128491620113,64,64
t1ce,440,0.135742,0.000000,0.000000,0.000000,0.000000,29.18884892086331,31.41007194244604,64,64
flair,440,0.128906,0.000000,0.000000,0.000000,0.000000,28.964015151515152,31.335227272727273,64,64
t1,495,0.191650,0.000000,0.000000,0.000000,0.000000,25.4343949044586,30.778343949044586,64,64
t2,495,0.189941,0.000000,0.000000,0.000000,0.000000,25.461439588688947,31.016709511568124,64,64
t1ce,495,0.193115,0.000000,0.000000,0.000000,0.000000,25.465233881163083,30.783817951959545,64,64
flair,495,0.187744,0.000000,0.000000,0.000000,0.000000,25.397919375812744,30.838751625487646,64,64
t1,550,0.385986,0.025391,0.023438,0.000000,0.000000,31.190385831752057,31.05819101834282,64,64
t2,550,0.382812,0.023438,0.021484,0.000000,0.000000,31.255102040816325,31.112882653061224,64,64
t1ce,550,0.388184,0.027344,0.023438,0.000000,0.000000,31.225786163522013,31.130817610062895,64,64
flair,550,0.383057,0.025391,0.021484,0.000000,0.000000,31.138304652644997,31.15487571701721,64,64
t1,605,0.037842,0.000000,0.000000,0.000000,0.000000,26.761290322580646,29.90967741935484,64,64
t2,605,0.039062,0.000000,0.000000,0.000000,0.000000,26.75,29.8375,64,64
t1ce,605,0.040283,0.000000,0.000000,0.000000,0.000000,26.830303030303032,29.67878787878788,64,64
flair,605,0.038086,0.000000,0.000000,0.000000,0.000000,26.852564102564102,29.794871794871796,64,64
t1,660,0.252197,0.054688,0.000000,0.000000,0.000000,23.980638915779284,31.635043562439495,64,64
t2,660,0.254639,0.058594,0.000000,0.000000,0.000000,23.957813998082454,31.618408437200383,64,64
t1ce,660,0.255615,0.058594,0.000000,0.000000,0.000000,24.032473734479463,31.549188156638014,64,64
flair,660,0.240967,0.044922,0.000000,0.000000,0.000000,23.8774062816616,31.685916919959475,64,64
t1,715,0.315918,0.000000,0.000000,0.000000,0.000000,30.183925811437405,31.667697063369395,64,64
t2,715,0.318115,0.000000,0.000000,0.000000,0.000000,30.154259401381427,31.693016116653876,64,64
t1ce,715,0.316406,0.000000,0.000000,0.000000,0.000000,30.175925925925927,31.631944444444443,64,64
flair,715,0.303711,0.000000,0.000000,0.000000,0.000000,29.829581993569132,31.711414790996784,64,64
t1,770,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
t2,770,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
t1ce,770,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
flair,770,0.000000,0.000000,0.000000,0.000000,0.000000,None,None,64,64
