mod,idx,nz_frac,edge_top,edge_bottom,edge_left,edge_right,center_y,center_x,H,W
t1,0,0.044434,0.304688,0.000000,0.000000,0.023438,3.9945054945054945,40.03846153846154,64,64
t2,0,0.044434,0.304688,0.000000,0.000000,0.023438,3.9945054945054945,40.03846153846154,64,64
t1ce,0,0.044434,0.304688,0.000000,0.000000,0.023438,3.9945054945054945,40.03846153846154,64,64
flair,0,0.044434,0.304688,0.000000,0.000000,0.023438,3.9945054945054945,40.03846153846154,64,64
t1,48,0.984375,1.000000,0.986328,0.992188,1.000000,31.266369047619047,31.663194444444443,64,64
t2,48,0.984375,1.000000,0.986328,0.992188,1.000000,31.266369047619047,31.663194444444443,64,64
t1ce,48,0.984375,1.000000,0.986328,0.992188,1.000000,31.266369047619047,31.663194444444443,64,64
flair,48,0.984375,1.000000,0.986328,0.992188,1.000000,31.266369047619047,31.663194444444443,64,64
t1,96,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,96,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,96,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,96,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1,144,0.411377,1.000000,0.000000,0.347656,0.322266,13.04925816023739,31.322255192878337,64,64
t2,144,0.413330,1.000000,0.000000,0.359375,0.326172,13.077377436503248,31.247489663319552,64,64
t1ce,144,0.411865,1.000000,0.000000,0.349609,0.324219,13.046235921754594,31.31238885595732,64,64
flair,144,0.412598,1.000000,0.000000,0.353516,0.326172,13.066272189349112,31.3,64,64
t1,192,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,192,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,192,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,192,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1,240,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,240,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,240,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,240,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1,288,0.843506,1.000000,0.449219,1.000000,1.000000,27.559479015918956,31.023733719247467,64,64
t2,288,0.843506,1.000000,0.449219,1.000000,1.000000,27.559479015918956,31.023733719247467,64,64
t1ce,288,0.843506,1.000000,0.449219,1.000000,1.000000,27.559479015918956,31.023733719247467,64,64
flair,288,0.843506,1.000000,0.449219,1.000000,1.000000,27.559479015918956,31.023733719247467,64,64
t1,336,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,336,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,336,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,336,0.952393,0.996094,0.931641,1.000000,1.000000,30.65496026659831,31.470135862599335,64,64
t1,384,0.601318,0.744141,0.025391,0.335938,0.171875,23.848152659358504,28.888753552578155,64,64
t2,384,0.600342,0.740234,0.025391,0.335938,0.169922,23.85766571777145,28.87677917852786,64,64
t1ce,384,0.601318,0.744141,0.025391,0.335938,0.171875,23.848152659358504,28.888753552578155,64,64
flair,384,0.600830,0.744141,0.025391,0.333984,0.171875,23.833401056481105,28.89394555058919,64,64
t1,432,0.763184,1.000000,0.443359,1.000000,1.000000,26.122840690978887,30.943058221369164,64,64
t2,432,0.763184,1.000000,0.443359,1.000000,1.000000,26.122840690978887,30.943058221369164,64,64
t1ce,432,0.763184,1.000000,0.443359,1.000000,1.000000,26.122840690978887,30.943058221369164,64,64
flair,432,0.763184,1.000000,0.443359,1.000000,1.000000,26.122840690978887,30.943058221369164,64,64
t1,480,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,480,0.999756,0.998047,1.000000,1.000000,1.000000,31.50720390720391,31.500854700854703,64,64
t1ce,480,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,480,0.998535,1.000000,1.000000,1.000000,1.000000,31.493887530562347,31.497310513447434,64,64
t1,528,0.214844,0.455078,0.000000,0.230469,0.019531,15.381818181818181,21.76590909090909,64,64
t2,528,0.214844,0.455078,0.000000,0.230469,0.019531,15.381818181818181,21.76590909090909,64,64
t1ce,528,0.214600,0.455078,0.000000,0.230469,0.019531,15.386803185437998,21.744027303754265,64,64
flair,528,0.214844,0.455078,0.000000,0.230469,0.019531,15.381818181818181,21.76590909090909,64,64
t1,576,0.804443,1.000000,0.382812,1.000000,1.000000,26.471927162367223,31.499241274658573,64,64
t2,576,0.804443,1.000000,0.382812,1.000000,1.000000,26.471927162367223,31.499241274658573,64,64
t1ce,576,0.804443,1.000000,0.382812,1.000000,1.000000,26.471927162367223,31.499241274658573,64,64
flair,576,0.804199,1.000000,0.382812,1.000000,1.000000,26.464177292046145,31.493624772313296,64,64
t1,624,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,624,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,624,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,624,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1,672,0.208252,0.953125,0.000000,0.115234,0.105469,7.651817116060961,31.71746776084408,64,64
t2,672,0.219971,0.953125,0.000000,0.115234,0.105469,7.9988901220865705,31.518312985571587,64,64
t1ce,672,0.218506,0.951172,0.000000,0.115234,0.105469,7.937430167597765,31.51173184357542,64,64
flair,672,0.219971,0.953125,0.000000,0.115234,0.105469,7.9988901220865705,31.518312985571587,64,64
t1,720,0.973389,1.000000,0.812500,1.000000,1.000000,30.741660396287937,31.424128417356407,64,64
t2,720,0.973389,1.000000,0.812500,1.000000,1.000000,30.741660396287937,31.424128417356407,64,64
t1ce,720,0.973389,1.000000,0.812500,1.000000,1.000000,30.741660396287937,31.424128417356407,64,64
flair,720,0.973389,1.000000,0.812500,1.000000,1.000000,30.741660396287937,31.424128417356407,64,64
t1,768,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,768,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,768,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,768,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1,816,0.267090,1.000000,0.000000,0.246094,0.271484,8.204753199268739,32.00274223034735,64,64
t2,816,0.267090,1.000000,0.000000,0.246094,0.271484,8.204753199268739,32.00274223034735,64,64
t1ce,816,0.266846,1.000000,0.000000,0.246094,0.271484,8.197621225983532,31.995425434583716,64,64
flair,816,0.267090,1.000000,0.000000,0.246094,0.271484,8.204753199268739,32.00274223034735,64,64
t1,864,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,864,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,864,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,864,0.999512,1.000000,1.000000,1.000000,1.000000,31.49609184171959,31.499755740107474,64,64
t1,912,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,912,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,912,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,912,0.998291,1.000000,0.998047,1.000000,1.000000,31.482758620689655,31.493274639276105,64,64
t1,960,0.510010,1.000000,0.042969,0.630859,0.666016,19.709430349449498,31.551938726663476,64,64
t2,960,0.510010,1.000000,0.042969,0.630859,0.666016,19.709909047391097,31.552417424605075,64,64
t1ce,960,0.510254,1.000000,0.042969,0.632812,0.666016,19.708133971291865,31.5377990430622,64,64
flair,960,0.509766,1.000000,0.042969,0.630859,0.664062,19.71551724137931,31.534961685823756,64,64
t1,1008,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,1008,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,1008,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,1008,0.999756,1.000000,1.000000,1.000000,1.000000,31.499877899877898,31.498168498168496,64,64
t1,1056,0.475830,0.425781,0.000000,0.146484,0.277344,25.750128270908156,32.3642893791688,64,64
t2,1056,0.475830,0.425781,0.000000,0.146484,0.277344,25.750128270908156,32.3642893791688,64,64
t1ce,1056,0.475830,0.425781,0.000000,0.146484,0.277344,25.750128270908156,32.3642893791688,64,64
flair,1056,0.475830,0.425781,0.000000,0.146484,0.277344,25.750128270908156,32.3642893791688,64,64
t1,1104,0.771484,1.000000,0.347656,1.000000,1.000000,25.95379746835443,31.196202531645568,64,64
t2,1104,0.771484,1.000000,0.347656,1.000000,1.000000,25.95379746835443,31.196202531645568,64,64
t1ce,1104,0.771484,1.000000,0.347656,1.000000,1.000000,25.95379746835443,31.196202531645568,64,64
flair,1104,0.770996,1.000000,0.347656,1.000000,1.000000,25.945218492716908,31.186510449651678,64,64
t1,1152,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,1152,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,1152,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,1152,0.999023,1.000000,0.994141,1.000000,1.000000,31.478739002932553,31.495112414467254,64,64
t1,1200,0.114258,0.601562,0.000000,0.000000,0.000000,5.923076923076923,30.94871794871795,64,64
t2,1200,0.114258,0.601562,0.000000,0.000000,0.000000,5.923076923076923,30.94871794871795,64,64
t1ce,1200,0.114258,0.601562,0.000000,0.000000,0.000000,5.923076923076923,30.94871794871795,64,64
flair,1200,0.114258,0.601562,0.000000,0.000000,0.000000,5.923076923076923,30.94871794871795,64,64
t1,1248,0.999756,1.000000,1.000000,0.998047,1.000000,31.495726495726494,31.50647130647131,64,64
t2,1248,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1ce,1248,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
flair,1248,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t1,1296,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
t2,1296,1.000000,1.000000,1.000000,1.000000,1.000000,31.5,31.5,64,64
