slice,iou
slice_14198.npy,0.000000
slice_11112.npy,0.237006
slice_3347.npy,0.842429
slice_11110.npy,0.854277
slice_10431.npy,0.966258
slice_3340.npy,0.967914
slice_8351.npy,0.968917
slice_3339.npy,0.971350
slice_120.npy,0.984000
slice_14314.npy,0.986201
slice_12827.npy,0.986622
slice_999.npy,0.986886
slice_11621.npy,0.987943
slice_2191.npy,0.988506
slice_12478.npy,0.988998
slice_11219.npy,0.989016
slice_4509.npy,0.989186
slice_4514.npy,0.989699
slice_9735.npy,0.990057
slice_471.npy,0.990236
slice_14951.npy,0.990291
slice_1042.npy,0.990497
slice_12360.npy,0.990734
slice_11343.npy,0.990886
slice_8586.npy,0.991031
slice_1001.npy,0.991225
slice_936.npy,0.991304
slice_13741.npy,0.991398
slice_13970.npy,0.991525
slice_2771.npy,0.991667
slice_14956.npy,0.991690
slice_11449.npy,0.991848
slice_2603.npy,0.991935
slice_13052.npy,0.992021
slice_14890.npy,0.992025
slice_11367.npy,0.992118
slice_937.npy,0.992138
slice_706.npy,0.992222
slice_6034.npy,0.992226
slice_13575.npy,0.992308
slice_10087.npy,0.992318
slice_1035.npy,0.992387
slice_6955.npy,0.992395
slice_11349.npy,0.992424
slice_11344.npy,0.992443
slice_10192.npy,0.992456
slice_11626.npy,0.992540
slice_2602.npy,0.992661
slice_6617.npy,0.992697
slice_11572.npy,0.992703
slice_6383.npy,0.992759
slice_9162.npy,0.992780
slice_12023.npy,0.992853
slice_11342.npy,0.992968
slice_9854.npy,0.993041
slice_4634.npy,0.993043
slice_15007.npy,0.993099
slice_2889.npy,0.993202
slice_3469.npy,0.993210
slice_11350.npy,0.993246
slice_4350.npy,0.993262
slice_4224.npy,0.993352
slice_9719.npy,0.993403
slice_3888.npy,0.993434
slice_9175.npy,0.993461
slice_8290.npy,0.993497
slice_13511.npy,0.993514
slice_4279.npy,0.993528
slice_9163.npy,0.993542
slice_9179.npy,0.993551
slice_994.npy,0.993573
slice_9712.npy,0.993578
slice_11615.npy,0.993587
slice_5340.npy,0.993590
slice_5091.npy,0.993639
slice_6464.npy,0.993642
slice_6029.npy,0.993652
slice_10768.npy,0.993661
slice_6146.npy,0.993686
slice_13967.npy,0.993693
slice_2057.npy,0.993716
slice_12477.npy,0.993724
slice_3128.npy,0.993747
slice_14963.npy,0.993752
slice_11365.npy,0.993757
slice_11375.npy,0.993762
slice_12139.npy,0.993786
slice_9718.npy,0.993815
slice_11378.npy,0.993820
slice_8162.npy,0.993842
slice_4632.npy,0.993850
slice_8479.npy,0.993900
slice_6382.npy,0.993918
slice_5165.npy,0.993987
slice_15115.npy,0.993987
slice_1834.npy,0.993995
slice_4362.npy,0.994010
slice_2309.npy,0.994012
slice_6448.npy,0.994012
slice_13849.npy,0.994106
slice_14152.npy,0.994118
slice_14966.npy,0.994152
slice_4741.npy,0.994208
slice_11749.npy,0.994255
slice_8127.npy,0.994288
slice_1974.npy,0.994290
slice_11663.npy,0.994293
slice_12899.npy,0.994300
slice_13166.npy,0.994302
slice_3872.npy,0.994311
slice_7886.npy,0.994316
slice_9684.npy,0.994320
slice_7713.npy,0.994326
slice_12596.npy,0.994337
slice_2657.npy,0.994342
slice_4736.npy,0.994343
slice_13626.npy,0.994350
slice_2650.npy,0.994355
slice_11613.npy,0.994365
slice_10093.npy,0.994377
slice_11300.npy,0.994382
slice_11447.npy,0.994382
slice_4332.npy,0.994416
slice_935.npy,0.994424
slice_3748.npy,0.994471
slice_11897.npy,0.994481
slice_10592.npy,0.994501
slice_11931.npy,0.994514
slice_4356.npy,0.994523
slice_10595.npy,0.994523
slice_14946.npy,0.994523
slice_14142.npy,0.994553
slice_3470.npy,0.994560
slice_5168.npy,0.994571
slice_11754.npy,0.994576
slice_10646.npy,0.994599
slice_11586.npy,0.994604
slice_6289.npy,0.994604
slice_14388.npy,0.994631
slice_9710.npy,0.994632
slice_11548.npy,0.994633
slice_14545.npy,0.994641
slice_10876.npy,0.994676
slice_1154.npy,0.994697
slice_8294.npy,0.994705
slice_7177.npy,0.994735
slice_4326.npy,0.994739
slice_6463.npy,0.994745
slice_11331.npy,0.994745
slice_13845.npy,0.994747
slice_6272.npy,0.994749
slice_8346.npy,0.994764
slice_11653.npy,0.994767
slice_10430.npy,0.994768
slice_5564.npy,0.994780
slice_11845.npy,0.994782
slice_14341.npy,0.994799
slice_9173.npy,0.994802
slice_71.npy,0.994803
slice_10880.npy,0.994805
slice_938.npy,0.994814
slice_3877.npy,0.994819
slice_15073.npy,0.994824
slice_5794.npy,0.994833
slice_6733.npy,0.994833
slice_11530.npy,0.994866
slice_12076.npy,0.994868
slice_6031.npy,0.994883
slice_13578.npy,0.994884
slice_79.npy,0.994913
slice_1381.npy,0.994916
slice_11380.npy,0.994920
slice_1264.npy,0.994944
slice_14427.npy,0.994957
slice_8419.npy,0.994965
slice_1630.npy,0.994986
slice_1202.npy,0.994988
slice_3829.npy,0.994989
