slice,iou
slice_8351.npy,0.978249
slice_10431.npy,0.986026
slice_11367.npy,0.992120
slice_6733.npy,0.992506
slice_2771.npy,0.992506
slice_14314.npy,0.992695
slice_4514.npy,0.992868
slice_11343.npy,0.992915
slice_12478.npy,0.992971
slice_13970.npy,0.993220
slice_12827.npy,0.993311
slice_11375.npy,0.993375
slice_11344.npy,0.993454
slice_14198.npy,0.993530
slice_2318.npy,0.993628
slice_13967.npy,0.993697
slice_11365.npy,0.993759
slice_2191.npy,0.993954
slice_11350.npy,0.994152
slice_11572.npy,0.994167
slice_11378.npy,0.994208
slice_11586.npy,0.994274
slice_12360.npy,0.994298
slice_9735.npy,0.994318
slice_11342.npy,0.994475
slice_15007.npy,0.994479
slice_2057.npy,0.994501
slice_11219.npy,0.994508
slice_11380.npy,0.994531
slice_11449.npy,0.994565
slice_4634.npy,0.994783
slice_4509.npy,0.994881
slice_6383.npy,0.994935
slice_6955.npy,0.994937
slice_364.npy,0.994957
