slice,iou
slice_8351.npy,0.957731
slice_10431.npy,0.977505
slice_8116.npy,0.978393
slice_4514.npy,0.984152
slice_13970.npy,0.984746
slice_14198.npy,0.985213
slice_14314.npy,0.985390
slice_12827.npy,0.986622
slice_14951.npy,0.987961
slice_12478.npy,0.988692
slice_11219.npy,0.989016
slice_2771.npy,0.989176
slice_13741.npy,0.989247
slice_10087.npy,0.989757
slice_4509.npy,0.989761
slice_9735.npy,0.990057
slice_11621.npy,0.990071
slice_10430.npy,0.990190
slice_12477.npy,0.990237
slice_6733.npy,0.990632
slice_935.npy,0.990706
slice_9686.npy,0.990836
slice_14956.npy,0.990898
slice_9854.npy,0.990899
slice_9684.npy,0.990913
slice_13052.npy,0.990957
slice_1042.npy,0.991056
slice_11572.npy,0.991250
slice_2772.npy,0.991263
slice_4634.npy,0.991297
slice_14657.npy,0.991409
slice_13798.npy,0.991437
slice_2191.npy,0.991536
slice_11586.npy,0.991580
slice_999.npy,0.991757
slice_14946.npy,0.991787
slice_11449.npy,0.991848
slice_11350.npy,0.991903
slice_12132.npy,0.991961
slice_3469.npy,0.992304
slice_15007.npy,0.992403
slice_6955.npy,0.992405
slice_9689.npy,0.992453
slice_11615.npy,0.992456
slice_11342.npy,0.992466
slice_11367.npy,0.992473
slice_9690.npy,0.992487
slice_2057.npy,0.992537
slice_12141.npy,0.992622
slice_12939.npy,0.992624
slice_3478.npy,0.992760
slice_14664.npy,0.992763
slice_9162.npy,0.992788
slice_2309.npy,0.992819
slice_3877.npy,0.992826
slice_3704.npy,0.992843
slice_222.npy,0.992865
slice_12360.npy,0.992872
slice_12899.npy,0.992875
slice_11343.npy,0.992908
slice_938.npy,0.992935
slice_11344.npy,0.992947
slice_1605.npy,0.992990
slice_4224.npy,0.993002
slice_2308.npy,0.993049
slice_12938.npy,0.993086
slice_223.npy,0.993119
slice_937.npy,0.993120
slice_2318.npy,0.993186
slice_12024.npy,0.993227
slice_14424.npy,0.993247
slice_1035.npy,0.993283
slice_13398.npy,0.993305
slice_1380.npy,0.993373
slice_11375.npy,0.993375
slice_364.npy,0.993441
slice_1216.npy,0.993445
slice_936.npy,0.993478
slice_6383.npy,0.993488
slice_471.npy,0.993491
slice_3872.npy,0.993499
slice_14427.npy,0.993516
slice_11447.npy,0.993579
slice_14895.npy,0.993612
slice_13849.npy,0.993615
slice_7713.npy,0.993617
slice_5091.npy,0.993635
slice_13626.npy,0.993644
slice_3828.npy,0.993655
slice_10646.npy,0.993699
slice_6031.npy,0.993754
slice_14673.npy,0.993766
slice_12076.npy,0.993768
slice_11112.npy,0.993776
slice_1214.npy,0.993809
slice_6617.npy,0.993820
slice_13754.npy,0.993821
slice_12861.npy,0.993827
slice_1845.npy,0.993833
slice_12023.npy,0.993874
slice_706.npy,0.993889
slice_2141.npy,0.993937
slice_4736.npy,0.993939
slice_10880.npy,0.993939
slice_6091.npy,0.993955
slice_11653.npy,0.993961
slice_2889.npy,0.993962
slice_7650.npy,0.993966
slice_1378.npy,0.993990
slice_178.npy,0.994025
slice_173.npy,0.994058
slice_6944.npy,0.994075
slice_11365.npy,0.994120
slice_10192.npy,0.994132
slice_2116.npy,0.994134
slice_3480.npy,0.994152
slice_2117.npy,0.994172
slice_5793.npy,0.994176
slice_8289.npy,0.994208
slice_11378.npy,0.994208
slice_11349.npy,0.994209
slice_13275.npy,0.994234
slice_10986.npy,0.994237
slice_11558.npy,0.994250
slice_838.npy,0.994286
slice_7177.npy,0.994296
slice_11331.npy,0.994341
slice_11613.npy,0.994367
slice_2201.npy,0.994370
slice_1264.npy,0.994382
slice_7417.npy,0.994382
slice_10792.npy,0.994386
slice_13967.npy,0.994390
slice_9722.npy,0.994390
slice_1856.npy,0.994392
slice_6382.npy,0.994425
slice_12337.npy,0.994436
slice_2433.npy,0.994439
slice_387.npy,0.994454
slice_3929.npy,0.994456
slice_1858.npy,0.994475
slice_9918.npy,0.994477
slice_2306.npy,0.994487
slice_11557.npy,0.994502
slice_3829.npy,0.994536
slice_2665.npy,0.994560
slice_3470.npy,0.994560
slice_13032.npy,0.994582
slice_14775.npy,0.994587
slice_6029.npy,0.994629
slice_11100.npy,0.994633
slice_14545.npy,0.994641
slice_959.npy,0.994660
slice_11611.npy,0.994661
slice_12441.npy,0.994661
slice_4986.npy,0.994696
slice_11663.npy,0.994700
slice_13287.npy,0.994728
slice_7886.npy,0.994730
slice_9742.npy,0.994737
slice_7666.npy,0.994760
slice_3817.npy,0.994770
slice_12019.npy,0.994784
slice_1834.npy,0.994792
slice_14060.npy,0.994792
slice_11150.npy,0.994822
slice_5794.npy,0.994831
slice_3560.npy,0.994837
slice_14652.npy,0.994845
slice_929.npy,0.994851
slice_12340.npy,0.994856
slice_2763.npy,0.994907
slice_2416.npy,0.994916
slice_11380.npy,0.994920
slice_6015.npy,0.994922
slice_6831.npy,0.994924
slice_9508.npy,0.994924
slice_9179.npy,0.994936
slice_5568.npy,0.994939
slice_2115.npy,0.994944
slice_3660.npy,0.994957
slice_12134.npy,0.994958
slice_2119.npy,0.994971
slice_3888.npy,0.994979
slice_10216.npy,0.994983
slice_7688.npy,0.994986
slice_4141.npy,0.994992
