mod,idx,nz_frac,edge_top,edge_bottom,edge_left,edge_right,center_y,center_x,H,W
t1,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
t2,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
t1ce,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
flair,0,0.084717,0.000000,0.000000,0.000000,0.000000,20.772334293948127,32.67723342939481,64,64
t1,42,0.294678,0.011719,0.000000,0.000000,0.000000,27.75393537696769,31.836785418392708,64,64
t2,42,0.294678,0.011719,0.000000,0.000000,0.000000,27.75393537696769,31.836785418392708,64,64
t1ce,42,0.294678,0.011719,0.000000,0.000000,0.000000,27.75393537696769,31.836785418392708,64,64
flair,42,0.294434,0.011719,0.000000,0.000000,0.000000,27.756218905472636,31.854063018242122,64,64
t1,84,0.210693,0.000000,0.000000,0.000000,0.000000,29.930475086906142,31.413673232908458,64,64
t2,84,0.210693,0.000000,0.000000,0.000000,0.000000,29.930475086906142,31.413673232908458,64,64
t1ce,84,0.210693,0.000000,0.000000,0.000000,0.000000,29.930475086906142,31.413673232908458,64,64
flair,84,0.210693,0.000000,0.000000,0.000000,0.000000,29.930475086906142,31.413673232908458,64,64
t1,126,0.160400,0.000000,0.000000,0.000000,0.000000,25.141552511415526,31.71841704718417,64,64
t2,126,0.159912,0.000000,0.000000,0.000000,0.000000,25.181679389312976,31.731297709923663,64,64
t1ce,126,0.159424,0.000000,0.000000,0.000000,0.000000,25.125574272588054,31.66156202143951,64,64
flair,126,0.160400,0.000000,0.000000,0.000000,0.000000,25.141552511415526,31.71841704718417,64,64
t1,168,0.314209,0.017578,0.000000,0.000000,0.000000,29.73038073038073,31.505827505827504,64,64
t2,168,0.314209,0.017578,0.000000,0.000000,0.000000,29.73038073038073,31.505827505827504,64,64
t1ce,168,0.314209,0.017578,0.000000,0.000000,0.000000,29.73038073038073,31.505827505827504,64,64
flair,168,0.313477,0.017578,0.000000,0.000000,0.000000,29.746105919003114,31.518691588785046,64,64
t1,210,0.153076,0.000000,0.000000,0.000000,0.000000,28.22488038277512,31.628389154704944,64,64
t2,210,0.153076,0.000000,0.000000,0.000000,0.000000,28.22488038277512,31.628389154704944,64,64
t1ce,210,0.152832,0.000000,0.000000,0.000000,0.000000,28.247603833865814,31.630990415335464,64,64
flair,210,0.153076,0.000000,0.000000,0.000000,0.000000,28.22488038277512,31.628389154704944,64,64
t1,252,0.233887,0.000000,0.000000,0.000000,0.000000,29.37473903966597,31.30793319415449,64,64
t2,252,0.233887,0.000000,0.000000,0.000000,0.000000,29.37473903966597,31.30793319415449,64,64
t1ce,252,0.233887,0.000000,0.000000,0.000000,0.000000,29.37473903966597,31.30793319415449,64,64
flair,252,0.233398,0.000000,0.000000,0.000000,0.000000,29.35460251046025,31.305439330543933,64,64
t1,294,0.298340,0.000000,0.000000,0.000000,0.000000,30.887888707037643,31.135842880523732,64,64
t2,294,0.298584,0.000000,0.000000,0.000000,0.000000,30.89370400654129,31.14881439084219,64,64
t1ce,294,0.297607,0.000000,0.000000,0.000000,0.000000,30.894175553732566,31.152584085315834,64,64
flair,294,0.292480,0.000000,0.000000,0.000000,0.000000,30.81719532554257,31.141903171953256,64,64
t1,336,0.111328,0.000000,0.000000,0.000000,0.000000,29.19298245614035,31.43859649122807,64,64
t2,336,0.111328,0.000000,0.000000,0.000000,0.000000,29.19298245614035,31.43859649122807,64,64
t1ce,336,0.111328,0.000000,0.000000,0.000000,0.000000,29.19298245614035,31.43859649122807,64,64
flair,336,0.111084,0.000000,0.000000,0.000000,0.000000,29.173626373626373,31.428571428571427,64,64
t1,378,0.252930,0.003906,0.000000,0.000000,0.000000,26.713320463320464,30.77027027027027,64,64
t2,378,0.252930,0.003906,0.000000,0.000000,0.000000,26.713320463320464,30.77027027027027,64,64
t1ce,378,0.252930,0.003906,0.000000,0.000000,0.000000,26.713320463320464,30.77027027027027,64,64
flair,378,0.252930,0.003906,0.000000,0.000000,0.000000,26.713320463320464,30.77027027027027,64,64
t1,420,0.323730,0.000000,0.000000,0.000000,0.000000,31.11236802413273,31.080693815987935,64,64
t2,420,0.323730,0.000000,0.000000,0.000000,0.000000,31.1342383107089,31.08446455505279,64,64
t1ce,420,0.323975,0.000000,0.000000,0.000000,0.000000,31.11906556141673,31.084400904295403,64,64
flair,420,0.319824,0.000000,0.000000,0.000000,0.000000,31.08854961832061,31.064885496183205,64,64
t1,462,0.111816,0.000000,0.000000,0.000000,0.000000,29.021834061135372,30.99126637554585,64,64
t2,462,0.111816,0.000000,0.000000,0.000000,0.000000,29.021834061135372,30.99126637554585,64,64
t1ce,462,0.111328,0.000000,0.000000,0.000000,0.000000,29.021929824561404,30.982456140350877,64,64
flair,462,0.111816,0.000000,0.000000,0.000000,0.000000,29.021834061135372,30.99126637554585,64,64
t1,504,0.250977,0.033203,0.000000,0.000000,0.000000,24.328793774319067,31.595330739299612,64,64
t2,504,0.250977,0.033203,0.000000,0.000000,0.000000,24.328793774319067,31.595330739299612,64,64
t1ce,504,0.250977,0.033203,0.000000,0.000000,0.000000,24.328793774319067,31.595330739299612,64,64
flair,504,0.250977,0.033203,0.000000,0.000000,0.000000,24.328793774319067,31.595330739299612,64,64
t1,546,0.270508,0.000000,0.000000,0.000000,0.000000,30.130866425992778,31.802346570397113,64,64
t2,546,0.270508,0.000000,0.000000,0.000000,0.000000,30.130866425992778,31.802346570397113,64,64
t1ce,546,0.270508,0.000000,0.000000,0.000000,0.000000,30.130866425992778,31.802346570397113,64,64
flair,546,0.270508,0.000000,0.000000,0.000000,0.000000,30.130866425992778,31.802346570397113,64,64
t1,588,0.007812,0.000000,0.000000,0.000000,0.000000,30.25,30.96875,64,64
t2,588,0.007812,0.000000,0.000000,0.000000,0.000000,30.25,30.96875,64,64
t1ce,588,0.007812,0.000000,0.000000,0.000000,0.000000,30.25,30.96875,64,64
flair,588,0.007812,0.000000,0.000000,0.000000,0.000000,30.25,30.96875,64,64
t1,630,0.280273,0.015625,0.000000,0.000000,0.000000,26.57752613240418,31.621080139372822,64,64
t2,630,0.280518,0.015625,0.000000,0.000000,0.000000,26.57267188859878,31.62750217580505,64,64
t1ce,630,0.280518,0.015625,0.000000,0.000000,0.000000,26.57267188859878,31.62750217580505,64,64
flair,630,0.280273,0.015625,0.000000,0.000000,0.000000,26.5801393728223,31.627177700348433,64,64
t1,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
t2,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
t1ce,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
flair,672,0.222412,0.000000,0.000000,0.000000,0.000000,29.300768386388583,31.962678375411635,64,64
t1,714,0.124268,0.000000,0.000000,0.000000,0.000000,23.174852652259332,32.1041257367387,64,64
t2,714,0.123291,0.000000,0.000000,0.000000,0.000000,23.235643564356437,32.02970297029703,64,64
t1ce,714,0.124268,0.000000,0.000000,0.000000,0.000000,23.174852652259332,32.1041257367387,64,64
flair,714,0.124268,0.000000,0.000000,0.000000,0.000000,23.174852652259332,32.1041257367387,64,64
t1,756,0.317139,0.025391,0.000000,0.000000,0.000000,28.73903002309469,31.608160123171672,64,64
t2,756,0.317139,0.025391,0.000000,0.000000,0.000000,28.73903002309469,31.608160123171672,64,64
t1ce,756,0.317139,0.025391,0.000000,0.000000,0.000000,28.73903002309469,31.608160123171672,64,64
flair,756,0.317139,0.025391,0.000000,0.000000,0.000000,28.73903002309469,31.608160123171672,64,64
t1,798,0.203125,0.000000,0.000000,0.000000,0.000000,29.81610576923077,31.485576923076923,64,64
t2,798,0.203125,0.000000,0.000000,0.000000,0.000000,29.81610576923077,31.485576923076923,64,64
t1ce,798,0.203125,0.000000,0.000000,0.000000,0.000000,29.81610576923077,31.485576923076923,64,64
flair,798,0.203125,0.000000,0.000000,0.000000,0.000000,29.81610576923077,31.485576923076923,64,64
t1,840,0.169434,0.000000,0.000000,0.000000,0.000000,26.329971181556196,32.15129682997118,64,64
t2,840,0.169434,0.000000,0.000000,0.000000,0.000000,26.329971181556196,32.15129682997118,64,64
t1ce,840,0.169434,0.000000,0.000000,0.000000,0.000000,26.329971181556196,32.15129682997118,64,64
flair,840,0.169189,0.000000,0.000000,0.000000,0.000000,26.32900432900433,32.16017316017316,64,64
t1,882,0.297607,0.000000,0.000000,0.000000,0.000000,28.85890073831009,31.94749794913864,64,64
t2,882,0.297607,0.000000,0.000000,0.000000,0.000000,28.85890073831009,31.94749794913864,64,64
t1ce,882,0.297607,0.000000,0.000000,0.000000,0.000000,28.85890073831009,31.94749794913864,64,64
flair,882,0.297607,0.000000,0.000000,0.000000,0.000000,28.85890073831009,31.94749794913864,64,64
t1,924,0.094971,0.000000,0.000000,0.000000,0.000000,27.7146529562982,31.861182519280206,64,64
t2,924,0.094971,0.000000,0.000000,0.000000,0.000000,27.7146529562982,31.861182519280206,64,64
t1ce,924,0.094971,0.000000,0.000000,0.000000,0.000000,27.7146529562982,31.861182519280206,64,64
flair,924,0.094971,0.000000,0.000000,0.000000,0.000000,27.7146529562982,31.861182519280206,64,64
t1,966,0.281250,0.005859,0.000000,0.000000,0.000000,26.124131944444443,31.638020833333332,64,64
t2,966,0.281006,0.005859,0.000000,0.000000,0.000000,26.139878366637706,31.636837532580365,64,64
t1ce,966,0.281250,0.005859,0.000000,0.000000,0.000000,26.124131944444443,31.638020833333332,64,64
flair,966,0.281250,0.005859,0.000000,0.000000,0.000000,26.124131944444443,31.638020833333332,64,64
t1,1008,0.276855,0.000000,0.000000,0.000000,0.000000,29.241622574955908,31.894179894179896,64,64
t2,1008,0.276611,0.000000,0.000000,0.000000,0.000000,29.255075022065313,31.88261253309797,64,64
t1ce,1008,0.276855,0.000000,0.000000,0.000000,0.000000,29.241622574955908,31.894179894179896,64,64
flair,1008,0.276855,0.000000,0.000000,0.000000,0.000000,29.241622574955908,31.894179894179896,64,64
t1,1050,0.116943,0.000000,0.000000,0.000000,0.000000,22.57828810020877,31.461377870563673,64,64
t2,1050,0.116699,0.000000,0.000000,0.000000,0.000000,22.556485355648537,31.489539748953973,64,64
t1ce,1050,0.116943,0.000000,0.000000,0.000000,0.000000,22.57828810020877,31.461377870563673,64,64
flair,1050,0.116943,0.000000,0.000000,0.000000,0.000000,22.57828810020877,31.461377870563673,64,64
t1,1092,0.361816,0.017578,0.000000,0.000000,0.000000,30.858299595141702,31.234143049932523,64,64
t2,1092,0.361572,0.017578,0.000000,0.000000,0.000000,30.87373396353815,31.23497636731938,64,64
t1ce,1092,0.361816,0.017578,0.000000,0.000000,0.000000,30.858299595141702,31.234143049932523,64,64
flair,1092,0.361816,0.017578,0.000000,0.000000,0.000000,30.858299595141702,31.234143049932523,64,64
t1,1134,0.261475,0.000000,0.000000,0.000000,0.000000,30.15686274509804,31.675070028011206,64,64
t2,1134,0.261475,0.000000,0.000000,0.000000,0.000000,30.15686274509804,31.675070028011206,64,64
t1ce,1134,0.261475,0.000000,0.000000,0.000000,0.000000,30.15686274509804,31.675070028011206,64,64
flair,1134,0.261475,0.000000,0.000000,0.000000,0.000000,30.15686274509804,31.675070028011206,64,64
t1,1176,0.126709,0.000000,0.000000,0.000000,0.000000,23.10597302504817,31.828516377649326,64,64
t2,1176,0.127197,0.000000,0.000000,0.000000,0.000000,23.143953934740882,31.81957773512476,64,64
t1ce,1176,0.127197,0.000000,0.000000,0.000000,0.000000,23.143953934740882,31.81957773512476,64,64
flair,1176,0.127197,0.000000,0.000000,0.000000,0.000000,23.143953934740882,31.81957773512476,64,64
t1,1218,0.313721,0.031250,0.000000,0.000000,0.000000,28.951750972762646,31.67081712062257,64,64
t2,1218,0.313232,0.027344,0.000000,0.000000,0.000000,28.98597038191738,31.669524551831646,64,64
t1ce,1218,0.313721,0.031250,0.000000,0.000000,0.000000,28.951750972762646,31.67081712062257,64,64
flair,1218,0.313721,0.031250,0.000000,0.000000,0.000000,28.951750972762646,31.67081712062257,64,64
t1,1260,0.194336,0.000000,0.000000,0.000000,0.000000,30.309045226130653,31.60175879396985,64,64
t2,1260,0.194336,0.000000,0.000000,0.000000,0.000000,30.309045226130653,31.60175879396985,64,64
t1ce,1260,0.194336,0.000000,0.000000,0.000000,0.000000,30.309045226130653,31.60175879396985,64,64
flair,1260,0.194336,0.000000,0.000000,0.000000,0.000000,30.309045226130653,31.60175879396985,64,64
t1,1302,0.263916,0.070312,0.000000,0.000000,0.000000,23.903792784458833,31.427382053654025,64,64
t2,1302,0.263916,0.070312,0.000000,0.000000,0.000000,23.903792784458833,31.427382053654025,64,64
t1ce,1302,0.263916,0.070312,0.000000,0.000000,0.000000,23.903792784458833,31.427382053654025,64,64
flair,1302,0.263916,0.070312,0.000000,0.000000,0.000000,23.903792784458833,31.427382053654025,64,64
t1,1344,0.340332,0.011719,0.000000,0.000000,0.000000,29.068149210903872,31.59684361549498,64,64
t2,1344,0.340332,0.011719,0.000000,0.000000,0.000000,29.068149210903872,31.59684361549498,64,64
t1ce,1344,0.340332,0.011719,0.000000,0.000000,0.000000,29.068149210903872,31.59684361549498,64,64
flair,1344,0.340088,0.011719,0.000000,0.000000,0.000000,29.07178750897344,31.600143575017945,64,64
t1,1386,0.122314,0.000000,0.000000,0.000000,0.000000,28.644710578842314,31.862275449101798,64,64
t2,1386,0.123291,0.000000,0.000000,0.000000,0.000000,28.669306930693068,31.825742574257426,64,64
t1ce,1386,0.122070,0.000000,0.000000,0.000000,0.000000,28.558,31.858,64,64
flair,1386,0.122314,0.000000,0.000000,0.000000,0.000000,28.67065868263473,31.868263473053894,64,64
t1,1428,0.209961,0.000000,0.000000,0.000000,0.000000,25.44418604651163,31.37906976744186,64,64
t2,1428,0.209961,0.000000,0.000000,0.000000,0.000000,25.44418604651163,31.37906976744186,64,64
t1ce,1428,0.209961,0.000000,0.000000,0.000000,0.000000,25.44418604651163,31.37906976744186,64,64
flair,1428,0.209961,0.000000,0.000000,0.000000,0.000000,25.44418604651163,31.37906976744186,64,64
t1,1470,0.288574,0.000000,0.000000,0.000000,0.000000,30.549915397631132,31.25719120135364,64,64
t2,1470,0.288574,0.000000,0.000000,0.000000,0.000000,30.549915397631132,31.25719120135364,64,64
t1ce,1470,0.288330,0.000000,0.000000,0.000000,0.000000,30.542760372565624,31.25571549534293,64,64
flair,1470,0.288330,0.000000,0.000000,0.000000,0.000000,30.55207451312447,31.25825571549534,64,64
t1,1512,0.102051,0.000000,0.000000,0.000000,0.000000,30.004784688995215,31.318181818181817,64,64
t2,1512,0.102051,0.000000,0.000000,0.000000,0.000000,30.004784688995215,31.318181818181817,64,64
t1ce,1512,0.102051,0.000000,0.000000,0.000000,0.000000,30.004784688995215,31.318181818181817,64,64
flair,1512,0.101807,0.000000,0.000000,0.000000,0.000000,29.973621103117505,31.323741007194243,64,64
t1,1554,0.248047,0.025391,0.000000,0.000000,0.000000,24.659448818897637,31.32185039370079,64,64
t2,1554,0.248047,0.025391,0.000000,0.000000,0.000000,24.659448818897637,31.32185039370079,64,64
t1ce,1554,0.248047,0.025391,0.000000,0.000000,0.000000,24.659448818897637,31.32185039370079,64,64
flair,1554,0.248047,0.025391,0.000000,0.000000,0.000000,24.659448818897637,31.32185039370079,64,64
t1,1596,0.294189,0.000000,0.000000,0.000000,0.000000,30.551867219917014,31.338589211618256,64,64
t2,1596,0.294434,0.000000,0.000000,0.000000,0.000000,30.56882255389718,31.344112769485903,64,64
t1ce,1596,0.294189,0.000000,0.000000,0.000000,0.000000,30.564315352697097,31.346887966804978,64,64
flair,1596,0.294434,0.000000,0.000000,0.000000,0.000000,30.56882255389718,31.344112769485903,64,64
t1,1638,0.031982,0.000000,0.000000,0.000000,0.000000,30.328244274809162,31.61832061068702,64,64
t2,1638,0.031982,0.000000,0.000000,0.000000,0.000000,30.328244274809162,31.61832061068702,64,64
t1ce,1638,0.031982,0.000000,0.000000,0.000000,0.000000,30.328244274809162,31.61832061068702,64,64
flair,1638,0.031982,0.000000,0.000000,0.000000,0.000000,30.328244274809162,31.61832061068702,64,64
t1,1680,0.311523,0.009766,0.000000,0.000000,0.000000,30.195924764890282,31.979623824451412,64,64
t2,1680,0.311523,0.009766,0.000000,0.000000,0.000000,30.195924764890282,31.979623824451412,64,64
t1ce,1680,0.311523,0.009766,0.000000,0.000000,0.000000,30.195924764890282,31.979623824451412,64,64
flair,1680,0.311035,0.009766,0.000000,0.000000,0.000000,30.20800627943485,31.99215070643642,64,64
t1,1722,0.219727,0.000000,0.000000,0.000000,0.000000,29.676666666666666,32.01888888888889,64,64
t2,1722,0.219727,0.000000,0.000000,0.000000,0.000000,29.676666666666666,32.01888888888889,64,64
t1ce,1722,0.219727,0.000000,0.000000,0.000000,0.000000,29.676666666666666,32.01888888888889,64,64
flair,1722,0.219727,0.000000,0.000000,0.000000,0.000000,29.676666666666666,32.01888888888889,64,64
t1,1764,0.083252,0.000000,0.000000,0.000000,0.000000,21.920821114369502,30.970674486803517,64,64
t2,1764,0.083252,0.000000,0.000000,0.000000,0.000000,21.920821114369502,30.970674486803517,64,64
t1ce,1764,0.083252,0.000000,0.000000,0.000000,0.000000,21.920821114369502,30.970674486803517,64,64
flair,1764,0.083252,0.000000,0.000000,0.000000,0.000000,21.920821114369502,30.970674486803517,64,64
t1,1806,0.293457,0.000000,0.000000,0.000000,0.000000,28.678868552412645,31.118968386023294,64,64
t2,1806,0.293213,0.000000,0.000000,0.000000,0.000000,28.69525395503747,31.119067443796837,64,64
t1ce,1806,0.293457,0.000000,0.000000,0.000000,0.000000,28.678868552412645,31.118968386023294,64,64
flair,1806,0.293213,0.000000,0.000000,0.000000,0.000000,28.69525395503747,31.119067443796837,64,64
t1,1848,0.195068,0.000000,0.000000,0.000000,0.000000,31.30413016270338,31.011264080100126,64,64
t2,1848,0.195068,0.000000,0.000000,0.000000,0.000000,31.30413016270338,31.011264080100126,64,64
t1ce,1848,0.195068,0.000000,0.000000,0.000000,0.000000,31.30413016270338,31.011264080100126,64,64
flair,1848,0.194824,0.000000,0.000000,0.000000,0.000000,31.281954887218046,31.0125313283208,64,64
t1,1890,0.236084,0.011719,0.000000,0.000000,0.000000,25.063081695966908,31.202688728024818,64,64
t2,1890,0.236084,0.011719,0.000000,0.000000,0.000000,25.063081695966908,31.202688728024818,64,64
t1ce,1890,0.236084,0.011719,0.000000,0.000000,0.000000,25.063081695966908,31.202688728024818,64,64
flair,1890,0.236084,0.011719,0.000000,0.000000,0.000000,25.063081695966908,31.202688728024818,64,64
t1,1932,0.332031,0.000000,0.000000,0.000000,0.000000,30.546323529411765,31.43455882352941,64,64
t2,1932,0.331787,0.000000,0.000000,0.000000,0.000000,30.56217807211185,31.434142752023547,64,64
t1ce,1932,0.332031,0.000000,0.000000,0.000000,0.000000,30.546323529411765,31.43455882352941,64,64
flair,1932,0.327393,0.000000,0.000000,0.000000,0.000000,30.469052945563014,31.507829977628635,64,64
t1,1974,0.173584,0.000000,0.000000,0.000000,0.000000,31.226441631504922,31.140646976090014,64,64
t2,1974,0.173584,0.000000,0.000000,0.000000,0.000000,31.226441631504922,31.140646976090014,64,64
t1ce,1974,0.173584,0.000000,0.000000,0.000000,0.000000,31.226441631504922,31.140646976090014,64,64
flair,1974,0.173584,0.000000,0.000000,0.000000,0.000000,31.226441631504922,31.140646976090014,64,64
t1,2016,0.273438,0.009766,0.000000,0.000000,0.000000,27.22232142857143,31.27857142857143,64,64
t2,2016,0.273193,0.009766,0.000000,0.000000,0.000000,27.238605898123325,31.27882037533512,64,64
t1ce,2016,0.273438,0.009766,0.000000,0.000000,0.000000,27.22232142857143,31.27857142857143,64,64
flair,2016,0.273438,0.009766,0.000000,0.000000,0.000000,27.22232142857143,31.27857142857143,64,64
t1,2058,0.299805,0.000000,0.000000,0.000000,0.000000,30.667752442996743,31.600162866449512,64,64
t2,2058,0.299805,0.000000,0.000000,0.000000,0.000000,30.667752442996743,31.600162866449512,64,64
t1ce,2058,0.299805,0.000000,0.000000,0.000000,0.000000,30.667752442996743,31.600162866449512,64,64
flair,2058,0.299805,0.000000,0.000000,0.000000,0.000000,30.667752442996743,31.600162866449512,64,64
t1,2100,0.033691,0.000000,0.000000,0.000000,0.000000,29.681159420289855,33.05072463768116,64,64
t2,2100,0.033203,0.000000,0.000000,0.000000,0.000000,29.566176470588236,33.00735294117647,64,64
t1ce,2100,0.033447,0.000000,0.000000,0.000000,0.000000,29.67153284671533,33.065693430656935,64,64
flair,2100,0.033447,0.000000,0.000000,0.000000,0.000000,29.7007299270073,33.065693430656935,64,64
t1,2142,0.309326,0.011719,0.000000,0.000000,0.000000,28.879242304656668,30.55327545382794,64,64
t2,2142,0.309082,0.011719,0.000000,0.000000,0.000000,28.894944707740915,30.552922590837284,64,64
t1ce,2142,0.309326,0.011719,0.000000,0.000000,0.000000,28.879242304656668,30.55327545382794,64,64
